SAMPLENAME	Monkey	Timepoint	Month..round.	Year	Month	Day	Cell.Type	Experiment	Other	Run	GIVENNAME	MAPPED	READS	MAP_percent	threshold	LibID
ZG66_106m_2021928_B_colon__CD212_sampled_i512_33_S28_L002_R1_001.fastq	ZG66	106	106m	2021	9	28	B	Colon	NA	CD212	ZG66 106m 2021928 B colon  CD212	3126212	3651650	85.610943	100	GTAGCC
ZG66_104hm_2021817_CD16p_PB__CD210_sampled_i512_39_S31_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	CD16p	PB	NA	CD210	ZG66 104hm 2021817 CD16p PB  CD210	1755639	4000000	43.890975	100	GTAGCC
ZG66_106m_2021928_CD16p_PB__CD211_sampled_i512_36_S29_L002_R1_001.fastq	ZG66	106	106m	2021	9	28	CD16p	PB	NA	CD211	ZG66 106m 2021928 CD16p PB  CD211	2597907	4000000	64.947675	100	GTAGCC
ZG66_104hm_2021817_CD56p_PB__CD210_rerun_sampled_8bp_i527_S22_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	CD56p	PB	NA	CD210_rerun	ZG66 104hm 2021817 CD56p PB  CD210_rerun	275342	4000000	6.88355	100	GTAGCC
ZG66_106m_2021928_CD56p_PB__CD212_sampled_i512_07_S7_L002_R1_001.fastq	ZG66	106	106m	2021	9	28	CD56p	PB	NA	CD212	ZG66 106m 2021928 CD56p PB  CD212	2792249	3431704	81.3662542	100	GTAGCC
ZG66_104hm_2021817_DN_PB__CD210_rerun_sampled_8bp_i526_S21_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	DN	PB	NA	CD210_rerun	ZG66 104hm 2021817 DN PB  CD210_rerun	180728	4000000	4.5182	100	GTAGCC
ZG66_106m_2021928_DN_NK_PB__CD212_sampled_i512_06_S6_L002_R1_001.fastq	ZG66	106	106m	2021	9	28	DN	PB	NA	CD212	ZG66 106m 2021928 DN_NK PB  CD212	2140207	4000000	53.505175	100	GTAGCC
ZG66_104hm_2021817_NK_BAL__CD210_sampled_i512_24_S20_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	NK	BAL	NA	CD210	ZG66 104hm 2021817 NK BAL  CD210	855959	3683615	23.23692894	100	GTAGCC
ZG66_104hm_2021817_NK_Liver__CD210_sampled_i512_20_S17_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	NK	Liver	NA	CD210	ZG66 104hm 2021817 NK Liver  CD210	1092546	3819939	28.60113735	100	GTAGCC
ZG66_104hm_2021817_NK_Spleen__CD210_sampled_i512_16_S14_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	NK	Spleen	NA	CD210	ZG66 104hm 2021817 NK Spleen  CD210	1595490	4000000	39.88725	100	GTAGCC
ZG66_106m_2021928_NK_spleen__CD212_sampled_i512_13_S13_L002_R1_001.fastq	ZG66	106	106m	2021	9	28	NK	Spleen	NA	CD212	ZG66 106m 2021928 NK spleen  CD212	1477246	3255589	45.37569085	100	GTAGCC
